Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,Northern Territory,127914,116778,244692,791,1375,-261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,Queensland,2374439,2403253,4777692,8177,3681,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,South Australia,841522,859146,1700668,1541,2096,-1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,Tasmania,255359,259758,515117,267,75,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,Victoria,2977200,3045122,6022322,8598,11157,2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,Western Australia,1276698,1263974,2540672,5138,2218,-1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Australian Capital Territory,197122,200418,397540,896,952,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,New South Wales,3790716,3854608,7645324,10185,20471,-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Northern Territory,127486,117084,244570,674,-284,-298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Queensland,2380319,2411201,4791520,7576,4594,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,South Australia,842864,860839,1703703,1205,2709,-1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Tasmania,255551,260146,515697,117,486,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Victoria,2994248,3063310,6057558,9224,18147,2661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,Western Australia,1278462,1267047,2545509,4880,3304,-1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Australian Capital Territory,197696,201178,398874,962,296,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,New South Wales,3803289,3868112,7671401,11479,17230,-3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Northern Territory,126967,117123,244090,623,-262,-626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Queensland,2385347,2419586,4804933,7410,3227,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,South Australia,843702,862235,1705937,1671,2149,-1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Tasmania,255452,260242,515694,248,251,-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Victoria,3011376,3081673,6093049,10306,14782,5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q4,Western Australia,1278792,1268953,2547745,5205,1599,-2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Australian Capital Territory,199141,202532,401673,998,1643,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,New South Wales,3821409,3886003,7707412,12677,26055,-3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Northern Territory,127066,117561,244627,754,615,-612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Queensland,2394996,2431542,4826538,9012,9874,3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,South Australia,845824,864510,1710334,1970,3898,-1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Tasmania,255937,260924,516861,499,771,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Victoria,3034156,3104471,6138627,10943,24794,4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,Western Australia,1281787,1272719,2554506,5821,5362,-2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Australian Capital Territory,199780,203324,403104,878,439,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,New South Wales,3833807,3899051,7732858,11814,16251,-3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Northern Territory,127676,118002,245678,786,979,-493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Queensland,2403173,2441979,4845152,8388,7257,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,South Australia,846877,865966,1712843,1693,2527,-2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Tasmania,256213,261301,517514,330,263,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Victoria,3051056,3122116,6173172,9652,14492,5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,Western Australia,1281968,1274010,2555978,5456,1356,-3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Australian Capital Territory,201226,204814,406040,912,1322,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,New South Wales,3851341,3916574,7767915,10332,30126,-2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,Northern Territory,128021,118422,246443,690,560,-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
