Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Australian Capital Territory,217500,222767,440267,836,-423,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,New South Wales,4019498,4068863,8088361,11010,17010,-7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Northern Territory,125486,120727,246213,550,-257,-503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Queensland,2540680,2589061,5129741,6808,6580,6548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,South Australia,878768,900160,1778928,1203,3271,-657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Tasmania,273893,279447,553340,285,1773,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Victoria,3262240,3327810,6590050,8835,15737,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q4,Western Australia,1345064,1343735,2688799,4808,7628,-304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Australian Capital Territory,218709,224326,443035,831,1579,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,New South Wales,4031001,4081000,8112001,11348,21509,-5647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Northern Territory,125750,121219,246969,655,598,-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Queensland,2552655,2601650,5154305,7273,12468,5580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,South Australia,883328,904519,1787847,1317,6557,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Tasmania,275151,280824,555975,320,1061,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Victoria,3274653,3341983,6616636,9166,21407,-386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,Western Australia,1353580,1352770,2706350,4653,9991,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Australian Capital Territory,219576,225327,444903,762,49,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,New South Wales,4030710,4079900,8110610,10285,-3945,-4173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Northern Territory,126013,121415,247428,698,-56,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Queensland,2558538,2607075,5165613,7542,-1514,6033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,South Australia,884465,905890,1790355,1115,29,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Tasmania,275981,281597,557578,312,-37,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Victoria,3273674,3341372,6615046,7959,-2477,-3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,Western Australia,1357131,1355781,2712912,4250,-363,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Australian Capital Territory,219997,225752,445749,787,-990,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,New South Wales,4025030,4073875,8098905,9794,-10075,-7338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Northern Territory,126133,121622,247755,604,-213,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Queensland,2562449,2610622,5173071,6978,-6781,8939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,South Australia,885335,906843,1792178,968,-1243,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Tasmania,276962,282465,559427,276,-283,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Victoria,3261201,3330236,6591437,7625,-20667,-7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,Western Australia,1360726,1359275,2720001,4203,-2317,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Australian Capital Territory,220886,226764,447650,796,-1109,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,New South Wales,4022460,4071840,8094300,9844,-487,-9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Northern Territory,126047,121772,247819,580,-268,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Queensland,2568499,2615830,5184329,6303,-5172,11792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,South Australia,886475,908039,1794514,1110,-1287,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Tasmania,278353,283528,561881,222,-113,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Victoria,3248276,3318919,6567195,8315,-18680,-10431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q4,Western Australia,1364994,1363193,2728187,4032,-2155,3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Australian Capital Territory,221923,227650,449573,969,-591,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,New South Wales,4022559,4070456,8093015,13071,-806,-9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Northern Territory,126203,121982,248185,755,43,-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Queensland,2576494,2623054,5199548,8517,-1701,10090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,South Australia,888690,909896,1798586,1863,-763,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Tasmania,280006,284834,564840,381,133,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Victoria,3242006,3313296,6555302,10424,-9881,-8960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,Western Australia,1370712,1368393,2739105,5127,-633,4062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Australian Capital Territory,223361,229147,452508,766,-450,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,New South Wales,4025393,4071669,8097062,11356,4132,-7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Northern Territory,126166,121985,248151,712,16,-465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Queensland,2585543,2630271,5215814,7736,808,9402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,South Australia,891067,911534,1802601,1419,454,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Tasmania,281404,285835,567239,300,-57,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Victoria,3237594,3310228,6547822,8923,-3831,-9122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,Western Australia,1376317,1373048,2749365,4717,12,3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Australian Capital Territory,223967,229431,453398,825,-659,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,New South Wales,4024825,4071894,8096719,10241,-5899,-4685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Northern Territory,127081,122384,249465,537,593,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Queensland,2592511,2637518,5230029,6998,-1186,8403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,South Australia,891643,912146,1803789,950,-437,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Tasmania,281853,285976,567829,180,146,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Victoria,3234792,3308324,6543116,8397,-4985,-8118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,Western Australia,1379861,1375722,2755583,4238,-573,2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Australian Capital Territory,225262,230743,456005,896,922,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,New South Wales,4035537,4081520,8117057,11428,15303,-6393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Northern Territory,127693,122807,250500,582,595,-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Queensland,2601798,2647874,5249672,6524,1808,11311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,South Australia,893667,914172,1807839,1129,1952,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Tasmania,282872,286737,569609,247,1245,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Victoria,3240587,3314426,6555013,8292,13337,-9732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q4,Western Australia,1384481,1378759,2763240,4510,237,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Australian Capital Territory,227071,232485,459556,853,2117,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,New South Wales,4053658,4099545,8153203,9771,36167,-9792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Northern Territory,128478,123629,252107,640,1041,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Queensland,2617810,2665669,5283479,6764,16102,10941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,South Australia,899043,919313,1818356,1243,8035,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Tasmania,283787,287597,571384,224,1231,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Victoria,3257565,3334015,6591580,7750,35573,-6756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,Western Australia,1392000,1386421,2778421,4411,7229,3541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Australian Capital Territory,227934,233328,461262,658,983,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,New South Wales,4069207,4112891,8182098,8425,25149,-4679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Northern Territory,129134,123966,253100,543,623,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Queensland,2630783,2680122,5310905,6439,13835,7152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,South Australia,902462,922507,1824969,739,4954,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Tasmania,284142,288158,572300,186,813,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Victoria,3267915,3347317,6615232,7185,22765,-6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,Western Australia,1400045,1393889,2793934,3594,8823,3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Australian Capital Territory,229200,234815,464015,656,2421,-324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,New South Wales,4090263,4133645,8223908,6521,43456,-8167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Northern Territory,129908,124496,254404,557,1068,-321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Queensland,2645698,2696619,5342317,4923,19620,6869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,South Australia,906810,926521,1833331,626,7291,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Tasmania,284320,288470,572790,66,895,-471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Victoria,3288878,3368812,6657690,6040,38053,-1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,Western Australia,1411775,1404132,2815907,3482,14887,3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Australian Capital Territory,230132,235741,465873,621,1444,-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,New South Wales,4110669,4153379,8264048,8260,42545,-10665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Northern Territory,130444,124850,255294,515,895,-520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Queensland,2662454,2714224,5376678,5223,19114,10024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,South Australia,910235,929952,1840187,760,6019,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Tasmania,284586,288757,573343,188,1447,-1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Victoria,3310463,3389932,6700395,7246,37589,-2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q4,Western Australia,1424238,1415285,2839523,3516,15597,4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Australian Capital Territory,231674,237511,469185,670,3017,-375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,New South Wales,4137998,4179331,8317329,8990,52442,-8151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Northern Territory,131182,125284,256466,532,1327,-687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Queensland,2681859,2733927,5415786,5720,26522,6866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,South Australia,915786,935228,1851014,944,9708,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Tasmania,284780,289056,573836,249,1461,-1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Victoria,3338832,3418419,6757251,7886,50020,-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,Western Australia,1439676,1428802,2868478,3521,20995,4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Australian Capital Territory,232641,238699,471340,697,1526,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,New South Wales,4158499,4197888,8356387,7782,39592,-8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Northern Territory,131882,125626,257508,605,1178,-741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Queensland,2699135,2751100,5450235,5402,21369,7678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,South Australia,919041,938605,1857646,526,6324,-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Tasmania,284622,289109,573731,17,995,-1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Victoria,3358839,3438330,6797169,6883,34234,-1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,Western Australia,1451838,1439098,2890936,3214,15263,3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Australian Capital Territory,233701,240116,473817,733,2455,-711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,New South Wales,4184214,4222124,8406338,8065,48630,-6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Northern Territory,132549,125994,258543,494,1116,-575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Queensland,2717323,2768651,5485974,5471,23093,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,South Australia,923179,942581,1865760,638,7847,-371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Tasmania,284665,289154,573819,57,980,-949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Victoria,3382750,3462916,6845666,7394,42225,-1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,Western Australia,1465419,1450803,2916222,3184,18805,3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Australian Capital Territory,233995,240867,474862,621,866,-442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,New South Wales,4198713,4238621,8437334,7931,31492,-8427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Northern Territory,132950,126193,259143,482,936,-818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Queensland,2732292,2784184,5516476,5136,16360,9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,South Australia,925497,945440,1870937,803,4911,-537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Tasmania,284789,289425,574214,169,1357,-1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Victoria,3399523,3481545,6881068,7620,29175,-1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q4,Western Australia,1476429,1461218,2937647,3318,14365,3742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Australian Capital Territory,235176,242353,477529,804,2199,-336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,New South Wales,4218498,4258903,8477401,8868,38262,-7063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Northern Territory,133364,126603,259967,633,958,-767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Queensland,2748050,2800782,5548832,5175,21018,6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,South Australia,929337,949318,1878655,939,7296,-517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Tasmania,285268,289697,574965,130,1280,-659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Victoria,3421700,3506834,6928534,7957,39954,-445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,Western Australia,1489410,1473241,2962651,3649,17731,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Australian Capital Territory,235484,242946,478430,635,344,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,New South Wales,4225966,4266084,8492050,7429,14731,-7511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Northern Territory,133947,126937,260884,516,757,-356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Queensland,2759653,2812237,5571890,5183,11262,6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,South Australia,930989,951175,1882164,557,3293,-341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Tasmania,285169,289596,574765,-57,527,-670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Victoria,3432367,3518594,6950961,7182,16527,-1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,Western Australia,1497454,1480693,2978147,3500,8371,3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Australian Capital Territory,235849,243920,479769,627,1139,-427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,New South Wales,4239370,4279614,8518984,6233,26279,-5578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Northern Territory,134555,127172,261727,530,870,-557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Queensland,2771134,2824161,5595295,4469,13374,5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,South Australia,933594,953482,1887076,128,5030,-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Tasmania,285186,289882,575068,-80,736,-353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Victoria,3446941,3535398,6982339,9689,22510,-821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,Western Australia,1506853,1489052,2995905,3641,11697,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Australian Capital Territory,236195,244859,481054,705,707,-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,New South Wales,4247233,4289659,8536892,7407,18467,-7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Northern Territory,135074,127479,262553,477,903,-554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Queensland,2782864,2836670,5619534,4607,12030,7602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,South Australia,935638,955727,1891365,729,4038,-478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Tasmania,285393,290082,575475,74,1098,-765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Victoria,3457529,3548467,7005996,6492,17820,-655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q4,Western Australia,1514108,1496158,3010266,2602,8816,2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Australian Capital Territory,237023,246301,483324,700,2188,-618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,New South Wales,4265592,4308472,8574064,10548,32129,-5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Northern Territory,135826,128036,263862,531,1186,-408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Queensland,2797243,2851021,5648264,5827,18665,4238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,South Australia,939456,959525,1898981,1240,6781,-405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Tasmania,285616,290451,576067,242,779,-429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Victoria,3478839,3571731,7050570,10367,33767,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,Western Australia,1525048,1506260,3031308,4719,13636,2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Australian Capital Territory,237604,247026,484630,850,785,-329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,New South Wales,4274825,4317699,8592524,10388,13351,-5279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Northern Territory,136264,128292,264556,486,794,-586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Queensland,2808163,2861601,5669764,5703,11604,4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,South Australia,941272,961393,1902665,630,3220,-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Tasmania,285671,290590,576261,114,410,-330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Victoria,3489957,3583902,7073859,9968,13062,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,Western Australia,1531884,1512498,3044382,3928,6908,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,Australian Capital Territory,238287,247944,486231,643,1570,-612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,New South Wales,4291069,4333465,8624534,7671,28942,-4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,Northern Territory,136855,128602,265457,455,994,-548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,Queensland,2819820,2872822,5692642,5050,14769,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,South Australia,944311,963871,1908182,158,5336,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
